"","x"
"202",4004.84490273449
"203",3999.2748236129
"204",3997.58946290862
"205",3993.9913263676
"206",3997.66722896668
"207",4005.37549479227
"208",3997.31904113763
"209",3992.05719829784
"210",3999.3317392396
"211",4001.40578832629
"212",4009.82664423637
"213",3999.69006957161
"214",3996.97215266945
"215",3998.61633049043
"216",4001.18718862773
"217",4000.62060149465
"218",3994.15773043181
"219",4004.07229002544
"220",3999.52855040468
"221",4001.49673913337
"222",3995.51325784221
"223",4000.96034156989
"224",4001.38165243301
"225",3998.67998645084
"226",3997.1859861402
"227",4005.76929599987
"228",4003.94145470352
"229",3999.85960779178
"230",3997.60352288959
"231",4007.34755051339
"232",3998.70176614644
"233",3996.07062868859
"234",4013.05024151365
"235",3997.9574395997
"236",4000.26057607527
"237",4002.15636262817
"238",3998.26643325434
"239",4003.12668657137
"240",4000.58042153834
"241",4005.2195890677
"242",4005.11077019477
"243",4000.52673382582
"244",4004.65176146917
"245",3992.63841519109
"246",4003.12582996382
"247",3999.25966042926
"248",4000.29812688915
"249",3998.94892795275
"250",4002.81343614421
"251",4000.27903807595
"252",3998.94449580737
"253",4001.81069241614
"254",4007.65377747381
"255",4000.17885022661
"256",4001.07183375987
"257",3993.4164437798
"258",4000.36249759271
"259",3997.65592961363
"260",4001.98930380816
"261",3996.97866932893
"262",3998.36936980142
"263",3995.06351866186
"264",4000.6064438384
"265",3995.36046191825
"266",3994.95618657699
"267",3998.46124553494
"268",3995.65582259646
"269",4007.49024299054
"270",4001.52471355313
"271",4003.42303202425
"272",3998.0033012675
"273",4000.43926173009
"274",4000.81460012128
"275",3998.78583347675
"276",3998.72778005419
"277",3999.90285009193
"278",3994.85453933517
"279",4001.51789647972
"280",4001.2619303014
"281",4002.76704529331
"282",3995.37228308795
"283",3997.14718601061
"284",3998.87069678149
"285",3999.87726615559
"286",3999.91035229947
"287",3998.87640566102
"288",4001.50240038642
"289",3999.95100685391
"290",4002.32014639378
"291",4000.28979950766
"292",4002.40645685137
"293",3997.03357051672
"294",3992.83732755704
"295",4005.37463365533
"296",3997.58210129802
"297",4003.08243486114
"298",4008.84028708331
"299",4005.17973434516
"300",4002.36832422609
"301",4003.06943288417
"302",3997.87572232466
"303",4000.98296142316
"304",4008.65007379213
"305",3996.08581101189
"306",3999.90299858381
"307",3994.64657048984
"308",3992.96434523086
"309",4004.81018055073
"310",3998.17491553288
"311",4008.13075113402
"312",4002.80216899764
"313",3999.16758320618
"314",4001.8806973635
"315",3995.97147144127
"316",3992.71277874908
"317",3997.92112590236
"318",3997.57563052455
"319",3994.76526599311
"320",4003.68884631502
"321",4012.17520894221
"322",4004.19550059483
"323",4003.98968678419
"324",3996.94302255166
"325",3995.02388781144
"326",3999.21102897519
"327",3996.49097178737
"328",4003.2535675002
"329",3997.69502236578
"330",3998.06846836367
"331",4001.50886693262
"332",3993.27630839364
"333",3991.8271040436
"334",4002.3365084509
"335",3999.0434244189
"336",3994.90568039035
"337",4000.06072482855
"338",3998.85086702039
"339",4001.04549748017
"340",4002.03385087942
"341",3991.52097702816
"342",4009.06532619648
"343",4001.26665913356
"344",4000.41494458223
"345",3998.38926408707
"346",4009.35296963863
"347",3998.58021952637
"348",3993.33805210949
"349",4004.95150174981
"350",3998.35238197589
"351",3998.92008221614
"352",3994.45581489763
"353",4001.49661685268
"354",4002.50267925123
"355",4000.45864082192
"356",3990.65405487935
"357",3998.24727094944
"358",3997.41552631783
"359",3991.63610517517
"360",3998.03584043505
"361",3996.03327625791
"362",3998.82638847995
"363",4000.74393204859
"364",4002.88477931734
"365",4000.26483859564
"366",4001.09564472691
"367",3997.54259946715
"368",4002.48380101371
"369",3997.77661970726
"370",3999.69080342288
"371",3993.88471608692
"372",4002.48772031605
"373",4004.13731567998
"374",3998.09312150023
"375",3999.05684763448
"376",4002.42152128173
"377",3998.84887122582
"378",3995.68295116171
"379",4000.50135420681
"380",4002.59189949262
"381",3999.41221096888
"382",3992.81012543368
"383",3995.07827431397
"384",4000.5636495175
"385",3999.64268735775
"386",3989.03135128675
"387",4003.91169004887
"388",3999.58067066664
"389",3993.67676201611
"390",3996.75139634327
"391",3996.4465378917
"392",4006.86107139255
"393",3993.49596697233
"394",4002.57420637134
"395",3997.57007231247
"396",3994.55955137436
"397",3999.10065485399
"398",3994.51741652628
"399",4007.73750037683
"400",3999.71580566137
"401",4009.49231914622
"402",3997.26715256154
"403",3997.37475877953
"404",3996.73041441492
"405",3999.68128400841
"406",4002.84648507045
"407",4004.35676512095
"408",3999.45488084287
"409",4004.06617451622
"410",3999.37825734424
"411",3999.807560689
"412",3996.58146478755
"413",3997.89601334277
"414",3996.46318707049
"415",3998.48904211147
"416",3999.48313485965
"417",3996.22348622722
"418",4010.30339216671
"419",4000.84236659582
"420",3994.53154861629
"421",4001.30565810701
"422",3996.55923134111
"423",4004.50655235292
"424",4004.48307737233
"425",3999.21548760279
"426",3998.6333202794
"427",4000.112317186
"428",3995.6450033518
"429",4000.07927402397
"430",3998.45864437854
"431",4003.55913555986
"432",3997.86882718296
"433",3995.68855881302
"434",4002.08585628125
"435",4005.68693744374
"436",4004.10803544165
"437",3993.06914007179
"438",4002.51086324516
"439",4006.19713563481
"440",4000.85338917819
"441",3998.83950043173
"442",3999.43565194732
"443",4000.38300075571
"444",3998.21855495071
"445",3999.19959980938
"446",3999.70669123197
"447",3997.76795039048
"448",4000.56314030997
"449",3998.6390531154
"450",4004.79245591603
"451",3995.52667931488
"452",3999.60610680242
"453",4000.99796136539
"454",4000.29624658957
"455",3997.46584164666
"456",4002.43931325832
"457",3994.22655696784
"458",4001.01203413569
"459",3997.44135745752
"460",4001.11262108176
"461",3995.21623123269
"462",3998.62750916801
"463",4002.74938527137
"464",4002.24966089735
"465",4001.25924430449
"466",3998.91744929886
"467",3993.70649557798
"468",4002.31002573262
"469",4003.69571979776
"470",4000.67759600687
"471",3998.5089499962
"472",4003.60164343026
"473",3999.22689682974
"474",4004.17597287957
"475",3995.46520983127
"476",4008.42066410737
"477",4002.62299284105
"478",3992.66971377011
"479",4000.81999847297
"480",3997.83904041197
"481",3997.85713254238
"482",3996.285543295
"483",3996.52962616431
"484",3999.08702277934
"485",3996.05574071505
"486",3999.3170240676
"487",3997.92838790112
"488",4002.32927338328
"489",3996.15355486315
"490",4004.35367260858
"491",4003.83323252887
"492",3999.54097131121
"493",4000.09823620027
"494",4008.57016704899
"495",4005.15222950977
"496",3998.32199679546
"497",4002.25534256678
"498",3999.11468383436
"499",4004.05784197779
"500",4007.20223386611
